total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
61;3;82;5;257;55;44;30;72.472084;4.01;8.0;7.5173764;10.504224;7.41;45.90163934426229;0.90163934;0.4918033;3.8411064;0.72131145;5.6336226;3.9835727;0.019331247;0.9205317;0.9414249;51.72972;1.3863636;5.6336226;3.0839899;3.0839899;41.0;37.0;23.0;17.0;9.0;12.0;1.8616681;1.8616681;20.333334;1.5;0.0;0.0;2
53;1;82;7;227;43;42;26;22.149435;16.88;21.2;8.825662;18.243607;23.91;52.83018867924528;0.8113208;0.49056605;3.5713747;0.7924528;5.7691436;4.0794005;0.014757285;0.9414093;0.9562115;67.763145;1.2619047;5.7691436;3.391657;3.391657;29.0;32.0;18.0;19.0;14.0;9.0;3.0013154;3.0013154;53.0;1.0;0.0;0.0;2
37;2;70;10;190;28;29;21;28.00345;3.23;7.2000003;12.794593;15.903189;11.12;64.86486486486487;0.7567568;0.5675676;3.4523787;0.7837838;4.7675705;3.3711815;0.018684497;0.93253183;0.9455965;53.520306;1.2758621;4.7675705;3.0055814;3.0055814;17.0;20.0;10.0;8.0;7.0;7.0;2.5447967;2.5447967;18.5;2.0;0.0;0.0;2
82;7;126;8;368;66;68;41;64.94988;0.5;4.4;8.061463;9.029199;2.91;57.3170731707317;0.80487806;0.5;4.527693;0.8292683;7.5093436;5.309908;0.009640551;0.9575168;0.9707295;103.72851;1.2058823;7.5093436;3.2754848;3.2754848;48.0;43.0;25.0;19.0;13.0;10.0;2.6196752;2.6196752;11.714286;2.3333333;0.0;0.0;2
43;2;58;2;186;35;33;19;70.90087;4.4;8.400001;8.257676;8.841846;7.91;44.18604651162791;0.81395346;0.44186047;2.8974729;0.76744187;5.0324526;3.5584815;0.018710649;0.9296255;0.9449148;53.445503;1.3030303;5.0324526;1.9455696;1.9455696;26.0;29.0;21.0;15.0;10.0;5.0;2.2036824;2.2036824;21.5;2.0;0.0;0.0;2
60;6;104;15;300;42;45;29;50.045;0.11;4.0;10.64;12.161745;7.12;61.66666666666667;0.7;0.48333332;3.7438838;0.75;5.809475;4.107919;0.017161056;0.92973673;0.9483162;58.27147;1.3333334;5.809475;1.2644455;1.2644455;30.0;35.0;16.0;20.0;13.0;11.0;1.8080512;1.8080512;10.0;2.0;2.0;1.0;2
71;5;115;11;340;54;54;35;55.39383;1.67;5.6;10.27324;11.602472;4.41;59.154929577464785;0.7605634;0.49295774;4.1537356;0.7605634;6.408621;4.5315795;0.015062697;0.93579257;0.95423025;66.389175;1.3148148;6.408621;3.1674871;3.1674871;29.0;40.0;27.0;21.0;24.0;5.0;2.3270996;2.3270996;14.2;2.5;3.0;1.0;2
28;5;49;6;152;23;26;18;53.101;-1.84;2.0;10.834284;9.3871;4.62;53.57142857142857;0.8214286;0.64285713;3.4016802;0.9285714;4.913538;3.4743962;0.006674237;0.9777601;0.9813141;149.82986;1.0769231;4.913538;2.1024933;2.1024933;11.0;13.0;13.0;7.0;2.0;3.0;1.2563334;1.2563334;5.6;2.5;2.0;0.0;2
36;4;46;3;145;27;30;15;89.6;-0.28;3.6000001;4.594444;7.908726;1.91;63.888888888888886;0.75;0.41666666;2.5;0.8333333;5.0;3.535534;0.01419772;0.9491222;0.9590881;70.433846;1.2;5.0;0.6948663;0.6948663;18.0;17.0;13.0;11.0;10.0;3.0;1.1653714;1.1653714;9.0;2.0;0.0;0.0;2
67;3;88;4;266;52;50;33;73.05025;4.79;8.8;6.2191043;9.725611;3.7;47.76119402985074;0.7761194;0.49253732;4.031592;0.74626863;6.1084723;4.319342;0.016554236;0.93039453;0.9497657;60.4075;1.34;6.1084723;2.423113;2.423113;38.0;39.0;21.0;16.0;5.0;12.0;2.4374232;2.4374232;22.333334;1.0;1.0;1.0;2
