total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
-1.174906074;-1.107684252;-1.148950878;-1.013429618;-1.143361892;-1.171947324;-1.274584549;-1.189745188;1.36102728;-1.296195504;1.40723526;-1.545807141;-1.545807141;1.205030424;0.832018068;-1.263154194;-1.545807141;-1.127986582;-1.180642875;-1.210253527;-1.158893616;-1.157868864;-1.167967722;-1.147661216;-1.130019056;0.203463955;-0.049052054;1
-1.174906074;-0.489298068;-1.185845206;-1.108691684;-1.178500272;-1.140908757;-1.258870924;-1.189745188;1.36102728;-1.296195504;1.693774885;-1.458382004;-1.458382004;1.650147931;1.491377688;-1.435139366;-1.458382004;-1.133114782;-1.138040041;-1.089099448;-1.158893616;-1.18677223;-1.126014859;-0.953325356;-1.120454095;-0.432360905;-0.626135038;1
-1.141810517;-0.953087706;-1.117327168;-1.061060651;-1.095925079;-1.089177812;-1.196016421;-1.189745188;0.460972718;-1.40032164;1.797971112;-1.272769172;-1.272769172;1.847748971;1.826809016;-1.494444598;-1.272769172;-1.106329592;-1.109638151;-1.104243708;-1.158893616;-1.244578963;-1.042109131;-1.082882596;-1.222000276;-0.432360905;-0.626135038;1
-1.166632185;-0.953087706;-1.122597786;-0.965798584;-1.124035783;-1.10987019;-1.243157298;-1.189745188;1.113512276;-1.324169547;1.722428848;-1.410631604;-1.410631604;1.705632952;1.587031314;-1.451613041;-1.410631604;-1.142378136;-1.109638151;-1.104243708;-1.11740454;-0.984448664;-1.042109131;-1.147661216;-1.197683856;0.415405575;-0.626135038;1
-1.150084406;-1.107684252;-1.138409641;-1.013429618;-1.132820378;-1.10987019;-1.306011801;-1.232103717;-0.176272944;-1.574181081;0.216304943;-1.817231795;-1.817231795;-0.752016052;-2.03925279;-0.371512926;-1.817231795;-0.672473949;-1.123839096;-1.089099448;-1.096660002;-1.042255398;-1.042109131;-1.018103976;-0.986785445;0.203463955;-0.626135038;1
-1.183179963;-0.79849116;-1.148950878;-1.013429618;-1.141604973;-1.161601135;-1.274584549;-1.253282982;0.18422603;-1.584322778;1.663074211;-1.507120449;-1.507120449;1.589738646;1.385963313;-1.417347796;-1.507120449;-1.170404969;-1.152240986;-1.149676487;-1.138149078;-1.128965497;-0.958203404;-1.212439835;-1.171761103;-0.432360905;-0.626135038;1
-1.158358295;-1.107684252;-1.112056549;-0.918167551;-1.118765026;-1.151254946;-1.211730047;-1.168565923;1.316115283;-1.250169246;2.017287365;-1.279254858;-1.279254858;2.147271466;2.235430194;-1.614077565;-1.279254858;-1.045759007;-1.180642875;-1.149676487;-1.179638154;-1.18677223;-1.167967722;-1.018103976;-1.012087347;-0.856244145;-0.626135038;1
-1.191453853;-1.262280798;-1.148950878;-0.965798584;-1.155660325;-1.161601135;-1.274584549;-1.253282982;0.415657471;-1.559069118;1.937864195;-1.466303923;-1.466303923;1.997083749;1.976682713;-1.571541399;-1.466303923;-1.132940863;-1.152240986;-1.179965007;-1.158893616;-1.100062131;-1.084061995;-1.212439835;-1.000256574;-0.644302525;-0.049052054;1
-1.199727742;-1.107684252;-1.138409641;-0.918167551;-1.155660325;-1.22367827;-1.290298175;-1.189745188;2.217809989;-1.202796727;1.914189981;-1.515485916;-1.515485916;1.950600759;1.894173559;-1.558691932;-1.515485916;-1.125644011;-1.209044764;-1.210253527;-1.158893616;-1.18677223;-1.167967722;-1.212439835;-1.151290013;-0.432360905;1.105113916;1
-1.116988849;-0.953087706;-1.122597786;-1.061060651;-1.115251188;-1.058139245;-1.117448294;-1.147386659;0.664891329;-1.28002081;2.322570174;-0.985109403;-0.985109403;2.589033665;2.877468445;-1.769790317;-0.985109403;-1.047392504;-1.095437207;-1.073955188;-1.158893616;-1.100062131;-1.167967722;-0.953325356;-1.143337145;-0.220419285;-0.626135038;1
