total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
35;4;54;6;167;28;27;15;0.42857142857142855;2.53546276418555;0.7714285714285715;4.563832975533989;3.2271172452028627;0.9270082166367786;0.9402478043742769;1.2962962962962963;4.563832975533989;0.2853036055962009;21.0;14.0;8.0;8.0;5.0;1.0;0.7764842344531808;0.0;0.0;1
35;2;46;3;149;24;32;18;0.5142857142857142;3.04255531702266;0.9142857142857143;5.408987230262506;3.8247315498700596;0.9747951094689316;0.9798747175612705;1.09375;5.408987230262506;0.23008033038420736;18.0;16.0;13.0;6.0;5.0;4.0;0.6597146067969515;0.0;1.0;1
29;2;41;3;129;21;25;16;0.5517241379310345;2.9711254108328298;0.8620689655172413;4.642383454426297;3.2826608214930637;0.9559230870669092;0.962871714998145;1.16;4.642383454426297;0.5307779309096355;14.0;12.0;10.0;7.0;4.0;3.0;0.9621032524650124;5.0;1.0;1
29;6;34;1;109;24;26;16;0.5517241379310345;2.9711254108328298;0.896551724137931;4.828078792603349;3.4139672543527864;0.9675706271505612;0.9728468943008584;1.1153846153846154;4.828078792603349;0.5021743104764763;17.0;20.0;10.0;6.0;5.0;6.0;1.0109867185242751;2.0;0.0;1
33;3;47;2;156;29;30;16;0.48484848484848486;2.7852424952911656;0.9090909090909091;5.222329678670935;3.6927447293799815;0.972741320266343;0.977921496293501;1.1;5.222329678670935;0.6515743911943961;19.0;19.0;10.0;4.0;7.0;4.0;0.49201654113224363;2.0;0.0;1
30;3;46;4;140;27;27;16;0.5333333333333333;2.9211869733608857;0.9;4.929503017546495;3.485685011586675;0.9690225224134634;0.9742939984842598;1.1111111111111112;4.929503017546495;0.450505984141152;19.0;19.0;12.0;13.0;7.0;3.0;0.6162900190622378;6.0;0.0;1
32;2;43;3;135;27;23;14;0.4375;2.4748737341529163;0.71875;4.065863991822648;2.875;0.9047123912114026;0.9194334443236033;1.391304347826087;4.065863991822648;3.0714963560807718;18.0;20.0;13.0;11.0;7.0;5.0;1.6941246055360344;5.0;0.0;1
28;4;41;3;130;22;25;13;0.4642857142857143;2.456769074559977;0.8928571428571429;4.72455591261534;3.3407655239053047;0.9659898769835575;0.9712521237667612;1.12;4.72455591261534;0.2941803731692188;16.0;16.0;11.0;8.0;9.0;2.0;0.7487729499302552;2.0;0.0;1
31;2;48;5;143;23;29;17;0.5483870967741935;3.0532901344551737;0.9354838709677419;5.208553758776472;3.6830036830055244;0.980579026499701;0.9841033572782466;1.0689655172413792;5.208553758776472;0.989419688988254;14.0;16.0;9.0;6.0;4.0;5.0;1.5648146440957307;0.0;0.0;1
27;1;41;4;122;22;25;13;0.48148148148148145;2.5018511664883785;0.9259259259259259;4.811252243246881;3.4020690871988584;0.9766490138119513;0.9801888735314174;1.08;4.811252243246881;0.5031443774715149;16.0;14.0;10.0;9.0;6.0;2.0;1.6252779575706022;1.0;1.0;1
26;2;43;5;122;16;24;16;0.6153846153846154;3.1378581622109447;0.9230769230769231;4.706787243316417;3.328201177351375;0.975432677718585;0.9789406266323804;1.0833333333333333;4.706787243316417;0.5438441223924722;12.0;12.0;10.0;6.0;4.0;2.0;0.85339416621806;2.0;3.0;1
